Region,Code,Year,Type,Value
Northern Africa,,2020,Vegetables,108
Northern Africa,,2020,Pulses,57
Northern Africa,,2020,Cereals,
Northern Africa,,2020,Other,
Northern Africa,,2020,Barley,45.06
Northern Africa,,2020,Maize,301.41
Northern Africa,,2020,Rice,149.54
Northern Africa,,2020,Wheat,1083.49
Northern Africa,,2021,Miscellaneous,3
Northern Africa,,2021,Alcoholic beverages,4
Northern Africa,,2021,Animal fats,28
Northern Africa,,2021,Vegetable oils,316
Northern Africa,,2021,Oilcrops,42
Northern Africa,,2021,Fish and seafood,30
Northern Africa,,2021,Sugar crops,13
Northern Africa,,2021,Sugar & sweeteners,287
Northern Africa,,2021,Starchy roots,73
Northern Africa,,2021,"Meat, other",4.49
Northern Africa,,2021,"Meat, sheep and goat",23.12
Northern Africa,,2021,"Meat, pig",0.07
Northern Africa,,2021,"Meat, poultry",56.03
Northern Africa,,2021,"Meat, beef",30.97
Northern Africa,,2021,Eggs,17
Northern Africa,,2021,Milk,142
Northern Africa,,2021,Nuts,17.06
Northern Africa,,2021,Fruit,175
Northern Africa,,2021,Vegetables,107
Northern Africa,,2021,Pulses,58
Northern Africa,,2021,Cereals,
Northern Africa,,2021,Other,
Northern Africa,,2021,Barley,51.46
Northern Africa,,2021,Maize,291.73
Northern Africa,,2021,Rice,150.07
Northern Africa,,2021,Wheat,1078.48
Northern America,,2020,Miscellaneous,3
Northern America,,2020,Alcoholic beverages,136
Northern America,,2020,Animal fats,114
Northern America,,2020,Vegetable oils,714
Northern America,,2020,Oilcrops,79
Northern America,,2020,Fish and seafood,30
Northern America,,2020,Sugar crops,
Northern America,,2020,Sugar & sweeteners,574
Northern America,,2020,Starchy roots,104
Northern America,,2020,"Meat, other",3.12
Northern America,,2020,"Meat, sheep and goat",3.81
Northern America,,2020,"Meat, pig",158.1
Northern America,,2020,"Meat, poultry",207.97
Northern America,,2020,"Meat, beef",122.19
Northern America,,2020,Eggs,55
Northern America,,2020,Milk,381
Northern America,,2020,Nuts,56.58
Northern America,,2020,Fruit,144
Northern America,,2020,Vegetables,74
Northern America,,2020,Pulses,47
Northern America,,2020,Cereals,
